 region     1        2        3        4        5        6        7        8        9       10       all
 198409 2  19.118   17.497   23.385   23.699   25.378   27.102   27.521   27.597   28.886   29.159   25.436
 198409 3  18.037   17.275   22.524   22.896   25.036   26.550   27.249   27.552   28.591   28.993   25.007
 198410 1  15.157   14.632   20.832   21.563   23.476   25.548   25.534   26.994   27.388   28.615   23.594
 198410 2  14.385   13.702   20.223   20.093   22.806   24.432   24.698   26.147   26.519   28.093   22.737
 198410 3  11.942   12.196   18.138   19.483   21.150   23.933   24.106   24.989   25.855   27.218   21.591
 198411 1  10.342   10.856   16.995   18.436   20.549   23.642   23.093   24.391   25.228   26.683   20.748
 198411 2   8.970    9.973   16.413   17.825   19.535   22.949   22.586   23.943   24.874   26.483   20.119
 198411 3   7.339    8.293   15.587   16.659   18.261   22.317   21.769   22.880   24.129   25.523   19.066
 198412 1   6.950    7.790   15.227   16.223   17.487   21.799   21.250   21.842   23.317   25.094   18.471
 198412 2   5.404    6.101   13.201   14.653   15.794   20.962   20.725   21.742   23.078   25.191   17.551
 198412 3   3.560    5.650   11.050   14.292   13.262   19.597   19.920   19.935   22.004   24.257   16.235
 198501 1   3.526    4.724   11.020   13.326   12.584   19.036   19.131   19.372   21.335   23.651   15.634
 198501 2   3.128    3.996   10.663   12.710   12.372   18.624   18.849   18.923   20.863   23.464   15.232
 198501 3   2.024    3.180    9.288   11.571   11.859   18.222   17.996   18.720   20.589   23.365   14.618
 198502 1   1.932    3.263    9.356   11.813   11.791   18.265   18.002   19.023   20.279   23.764   14.745
 198502 2   1.681    3.091    8.525   11.158   11.457   17.990   17.555   18.863   19.773   23.728   14.432
 198502 3   2.444    3.204    8.899   11.113   11.686   17.775   17.173   18.927   19.820   24.108   14.548
 198503 1   2.067    2.573    8.442   11.096   11.509   17.796   17.395   18.785   20.150   24.510   14.517
 198503 2   2.322    2.777    8.889   11.488   11.931   18.218   17.831   19.436   20.811   24.575   14.925
 198503 3   2.962    3.280    9.468   12.259   12.291   18.636   17.679   19.783   21.096   24.885   15.314
 198504 1   3.662    3.757   10.226   12.872   12.414   19.077   18.542   19.795   20.890   25.005   15.648
 198504 2   4.323    3.874   10.610   13.726   13.177   19.686   19.108   20.477   21.691   25.243   16.171
 198504 3   6.150    5.425   11.906   14.304   14.847   20.266   18.820   21.342   21.781   25.659   16.916
 198505 1   6.957    5.252   13.012   14.873   16.167   21.337   19.756   22.440   22.535   26.492   17.756
 198505 2   8.575    6.138   14.313   15.633   17.498   21.537   19.929   23.979   23.296   27.575   18.687
 198505 3  10.204    7.813   15.677   16.905   18.804   22.154   21.203   24.352   23.716   27.677   19.629
 198506 1  11.298    8.809   16.844   17.870   19.727   22.610   21.429   24.598   24.024   27.698   20.218
 198506 2  13.068   10.132   18.036   18.269   21.050   23.208   22.504   25.636   24.914   27.694   21.139
 198506 3  15.023   11.085   19.258   19.017   22.721   24.274   23.532   26.873   26.632   28.024   22.316
 198507 1  17.469   11.425   21.139   19.379   24.224   25.252   24.087   26.922   26.691   28.024   23.047
 198507 2  18.277   12.128   22.113   20.885   25.242   26.416   25.586   27.553   27.866   28.728   24.073
 198507 3  20.833   14.521   25.170   23.564   26.513   27.668   26.729   28.056   28.188   28.878   25.473
 198508 1  22.746   17.304   26.971   25.395   27.044   27.656   27.550   28.328   27.865   29.207   26.359
 198508 2  22.965   18.552   26.828   25.869   26.335   27.734   27.732   28.011   27.946   28.806   26.393
 198508 3  23.728   18.979   27.411   25.682   26.812   27.657   27.314   27.730   27.652   27.891   26.337
 198509 1  22.095   17.998   26.076   25.151   27.258   27.799   27.721   27.919   27.905   27.931   26.128
 198509 2  21.106   17.235   25.214   24.161   27.164   27.756   27.123   28.566   28.303   28.317   25.903
 198509 3  18.863   16.250   22.927   22.840   24.992   27.303   26.869   27.492   28.372   28.317   24.920
 198510 1  16.663   15.299   21.523   21.926   23.222   26.332   26.338   26.101   27.839   27.318   23.795
 198510 2  14.256   14.779   20.156   21.013   22.466   25.652   26.007   26.419   27.455   27.562   23.203
 198510 3  12.371   13.351   19.035   19.950   21.392   24.660   24.756   25.463   26.881   27.220   22.181
 198511 1  11.525   12.271   18.427   19.400   20.082   23.907   23.935   24.421   25.888   26.670   21.324
 198511 2   9.523   11.425   16.181   18.597   18.538   22.514   22.889   23.662   25.161   26.171   20.196
 198511 3   7.947    9.724   15.083   17.272   17.219   21.813   22.339   22.904   24.459   25.573   19.209
 198512 1   5.052    7.303   12.316   16.246   15.906   20.631   21.614   22.174   23.591   25.467   17.930
 198512 2   3.928    6.477   12.155   15.350   15.078   20.208   20.538   21.056   22.582   24.403   17.054
 198512 3   3.544    5.398   11.354   14.783   13.863   19.977   19.821   20.162   21.800   23.427   16.273
 198601 1   3.086    5.009   10.515   14.091   11.787   18.843   19.449   19.225   21.205   23.064   15.490
 198601 2   3.159    4.712   10.172   13.721   11.724   18.757   18.819   18.775   20.558   22.613   15.137
 198601 3   2.879    4.135    9.592   13.143   11.204   18.445   18.656   18.572   20.247   22.448   14.783
 198602 1   2.256    3.280    8.689   12.319   10.946   18.197   17.943   18.557   19.912   22.854   14.419
 198602 2   2.162    2.960    8.283   12.011   11.044   18.129   17.976   18.252   19.465   22.404   14.214
 198602 3   1.803    2.653    7.661   11.441   10.632   17.603   17.629   17.941   19.045   22.232   13.863
 198603 1   2.277    2.495    7.899   11.400   10.608   17.682   17.164   17.777   19.309   22.407   13.898
 198603 2   2.740    2.663    8.021   11.124   10.743   17.896   16.949   18.115   19.721   22.991   14.106
 198603 3   2.882    2.847    8.185   11.278   11.537   17.796   17.257   19.016   19.691   23.663   14.453
 198604 1   3.477    3.425    8.801   11.688   11.947   18.144   17.538   19.368   20.069   23.973   14.819
 198604 2   4.157    3.683    9.395   12.410   12.333   18.628   17.855   19.572   20.835   24.894   15.390
 198604 3   5.570    4.041   11.070   13.628   13.924   19.596   18.577   20.837   22.295   26.047   16.540
 198605 1   6.561    5.486   12.399   15.227   15.530   20.080   19.116   22.453   23.396   26.924   17.649
 198605 2   7.569    5.990   13.162   16.092   16.525   20.808   20.147   23.091   23.600   26.916   18.266
 198605 3   9.158    6.558   14.462   16.567   17.687   21.436   20.526   23.711   23.428   27.005   18.866
 198606 1  11.675    8.262   16.465   17.602   20.168   22.626   21.542   24.501   23.985   27.272   20.138
 198606 2  13.074   10.464   17.834   19.199   21.011   23.518   22.514   25.439   24.659   27.924   21.240
 198606 3  13.200   10.577   18.150   19.420   22.490   24.614   23.489   26.795   26.826   28.577   22.160
 198607 1  13.846   11.098   18.720   19.799   23.468   25.145   24.396   27.522   27.797   28.608   22.793
 198607 2  15.729   13.012   20.206   21.039   24.418   26.586   25.764   28.141   28.583   28.427   23.868
 198607 3  17.257   14.070   22.036   21.880   26.762   27.748   26.181   28.624   29.065   28.902   24.872
 198608 1  19.227   16.557   24.175   23.549   27.982   27.556   27.094   28.901   28.743   29.072   25.799
 198608 2  20.730   17.827   24.971   24.884   28.204   28.078   27.232   29.041   28.805   29.282   26.350
 198608 3  20.366   18.634   24.612   25.293   26.656   28.032   27.213   28.079   28.271   28.938   26.017
 198609 1  19.732   17.874   23.666   25.371   25.421   28.261   27.848   28.046   29.106   28.990   25.902
 198609 2  19.720   17.769   23.074   24.644   25.019   27.419   27.415   27.511   29.096   28.619   25.501
 198609 3  17.820   16.646   21.930   23.431   23.764   27.007   27.088   26.056   28.742   27.757   24.534
 198610 1  16.586   15.829   20.512   22.144   22.850   25.731   25.883   25.849   27.608   27.711   23.615
 198610 2  15.087   14.031   19.498   20.154   22.235   24.940   24.414   25.408   26.500   27.612   22.574
 198610 3  12.642   12.352   17.540   19.191   20.989   23.852   23.841   24.681   25.781   27.226   21.482
 198611 1  10.765   11.138   16.524   18.351   20.459   23.359   23.533   24.074   25.322   26.818   20.763
 198611 2   9.870   10.342   15.854   17.512   19.555   22.775   22.657   23.726   24.683   26.595   20.102
 198611 3   7.473    8.382   14.637   16.418   18.124   21.866   21.772   22.732   24.169   25.797   18.948
 198612 1   6.131    6.562   13.787   15.442   16.601   21.584   21.581   21.852   23.550   25.409   18.103
 198612 2   5.327    6.141   13.231   15.218   16.102   21.170   21.170   21.286   22.976   24.689   17.584
 198612 3   4.628    5.229   12.533   14.624   14.413   20.420   20.379   20.231   22.485   23.971   16.743
 198701 1   3.948    4.128   11.683   13.303   14.191   19.677   19.264   20.141   22.137   24.161   16.153
 198701 2   3.473    3.306   10.814   13.094   12.763   19.021   19.231   19.194   21.180   23.608   15.458
 198701 3   3.364    3.108   10.461   13.021   11.949   18.485   18.977   18.940   20.587   23.115   15.127
 198702 1   3.449    3.069   10.039   12.723   12.052   18.428   18.306   18.519   20.654   22.963   14.959
 198702 2   2.454    3.274    9.517   12.353   12.232   18.197   18.165   19.210   20.411   23.727   15.000
 198702 3   2.161    2.675    8.976   11.761   11.623   17.770   17.878   18.710   20.222   23.305   14.564
